title,novelid,author,publish_date,category,word_count,score,progress,gong_name,shou_name
和影帝协议结婚之后,3702342,故筝,2021-01-30 20:00:00,原创-纯爱-近代现代-爱情-主受,408388,7091535872,完结,席乘昀,白绮
无限流玩家退休以后,4471018,桑沃,2020-10-10 18:00:00,原创-纯爱-幻想未来-剧情-主受,596859,6626269696,完结,嵇玄,叶迦
被将军掳走之后,5525076,望三山,2022-03-19 00:00:59,原创-纯爱-架空历史-爱情-主受,813804,8618600448,完结,楚贺潮,元里
图灵密码,3618070,非天夜翔,2018-08-17 11:11:11,原创-纯爱-近代现代-爱情-主受,609155,10124242944,完结,关越,天和
我是卷王穿越者的废物对照组,8124057,若星若辰,2024-05-08 18:00:06,原创-纯爱-架空历史-爱情-主受,866250,15567086592,完结,谢无炽,时书
直播写纯爱文的我在虫族封神,7894039,MRA,2023-03-19 17:04:55,原创-纯爱-幻想未来-爱情-主攻,2050471,23362996224,完结,时寸瑾,阿努什卡
恒星时刻,7888815,稚楚,2024-04-27 20:36:14,原创-纯爱-近代现代-爱情-双视角,773651,17407203328,完结,秦一隅,南乙
标记我一下,4345516,Paz,2019-11-20 12:12:12,原创-纯爱-近代现代-爱情-主受,457446,4501979136,完结,薄渐,江淮
情敌每天都在变美[穿书],4187973,公子于歌,2019-09-10 09:00:00,原创-纯爱-近代现代-爱情-主受,786329,8705602560,完结,阎秋池,沈金台
回到仙尊少年时[穿书],4940635,妾在山阳,2021-07-10 08:00:00,原创-纯爱-架空历史-仙侠-主受,590282,8119644672,完结,谢识衣,言卿
